system_type,player_name,seed,rounds,initial_difficulty,final_difficulty,target_win_rate,total_wins,total_losses,overall_win_rate,target_deviation,average_remaining_health,average_damage_taken,average_accuracy,average_round_duration,difficulty_changes
static,Anfänger,42,300,5,5,0.600000,104,196,0.346667,0.253333,28.853333,71.146667,0.250798,60.623839,0
adaptive,Anfänger,42,300,5,6,0.600000,150,150,0.500000,0.100000,47.243333,52.756667,0.266998,54.637172,107
static,Anfänger,123,300,5,5,0.600000,105,195,0.350000,0.250000,29.126667,70.873333,0.251253,60.641338,0
adaptive,Anfänger,123,300,5,4,0.600000,149,151,0.496667,0.103333,46.493333,53.506667,0.266853,55.062671,123
static,Anfänger,999,300,5,5,0.600000,107,193,0.356667,0.243333,30.293333,69.706667,0.248630,60.996000,0
adaptive,Anfänger,999,300,5,3,0.600000,153,147,0.510000,0.090000,48.203333,51.796667,0.262230,55.960000,110
static,durchschnittlicher Spieler,42,300,5,5,0.600000,198,102,0.660000,0.060000,59.943333,40.056667,0.550798,54.623839,0
adaptive,durchschnittlicher Spieler,42,300,5,8,0.600000,157,143,0.523333,0.076667,42.920000,57.080000,0.539331,60.622506,129
static,durchschnittlicher Spieler,123,300,5,5,0.600000,191,109,0.636667,0.036667,57.886667,42.113333,0.551253,54.641338,0
adaptive,durchschnittlicher Spieler,123,300,5,6,0.600000,155,145,0.516667,0.083333,41.980000,58.020000,0.539386,61.012004,145
static,durchschnittlicher Spieler,999,300,5,5,0.600000,211,89,0.703333,0.103333,64.576667,35.423333,0.548630,54.996000,0
adaptive,durchschnittlicher Spieler,999,300,5,6,0.600000,159,141,0.530000,0.070000,42.333333,57.666667,0.534930,62.078000,119
static,erfahrener Spieler,42,300,5,5,0.600000,262,38,0.873333,0.273333,83.776667,16.223333,0.800798,49.623839,0
adaptive,erfahrener Spieler,42,300,5,10,0.600000,165,135,0.550000,0.050000,31.793333,68.206667,0.765731,67.986506,99
static,erfahrener Spieler,123,300,5,5,0.600000,264,36,0.880000,0.280000,84.410000,15.590000,0.801253,49.641338,0
adaptive,erfahrener Spieler,123,300,5,8,0.600000,167,133,0.556667,0.043333,32.880000,67.120000,0.767386,67.393338,105
static,erfahrener Spieler,999,300,5,5,0.600000,266,34,0.886667,0.286667,85.560000,14.440000,0.798630,49.996000,0
adaptive,erfahrener Spieler,999,300,5,10,0.600000,172,128,0.573333,0.026667,28.290000,71.710000,0.758064,71.419333,65
